Generacion,Mejor_Fitness,Media_Fitness,Desviacion_Estandar,Gen_W_WOOD,Gen_W_BRICK,Gen_W_SHEEP,Gen_W_WHEAT,Gen_W_ORE,Gen_W_prob,Gen_W_port_generic,Gen_W_port_specific,Gen_W_synergy,Gen_P_settlement,Gen_P_city,Gen_P_road,Gen_W_dev_card_buy_threshold,Gen_T_save_resources,Gen_W_knight_priority,Gen_W_block_highest_vp,Gen_W_block_highest_production,Gen_W_target_hand_size,Gen_T_offer_generosity,Gen_T_accept_margin
1,3.20,1.37,0.94,0.8215,0.4130,0.2064,0.1283,0.5683,0.3153,0.2156,0.9109,0.1757,0.5915,0.1751,0.1857,0.5474,0.1748,0.2439,0.2407,0.4122,0.7815,0.1700,0.0222
2,3.20,1.22,1.00,0.0293,0.9083,0.6591,0.3989,0.8819,0.5400,0.9597,0.8221,0.2193,0.5634,0.7982,0.2920,0.3131,0.6174,0.2604,0.6667,0.6219,0.5519,0.3284,0.7842
3,3.00,1.92,0.76,0.0293,0.9083,0.6591,0.3989,0.8819,0.5400,0.9597,0.8221,0.2193,0.5634,0.7982,0.2920,0.3131,0.6174,0.2604,0.6667,0.6219,0.5519,0.3284,0.7842
4,12.40,3.10,2.96,0.7967,0.8449,0.6772,0.3989,0.5683,0.5400,0.9597,0.8221,0.2724,0.5634,0.7982,0.2920,0.3131,0.6174,0.2604,0.6667,0.4122,0.7815,0.7896,0.7842
5,13.40,3.42,3.17,0.7967,0.8449,0.6772,0.3989,0.5683,0.5400,0.2156,0.8221,0.2193,0.5634,0.7982,0.2920,0.3131,0.6174,0.2604,0.6667,0.4122,0.7815,0.7896,0.8746
6,3.40,2.77,0.40,0.7967,0.4130,0.6772,0.3989,0.5683,0.6414,0.8417,0.8221,0.3592,0.5634,0.8594,0.2920,0.3131,0.6904,0.2604,0.7811,0.6219,0.4586,0.7896,0.8670
7,13.60,3.77,3.12,0.7443,0.4130,0.6772,0.4611,0.6438,0.6414,0.8417,0.8221,0.3592,0.5634,0.8594,0.4033,0.3131,0.6904,0.2604,0.7811,0.4325,0.4586,0.7896,0.8670
8,3.60,2.82,0.44,0.7967,0.4130,0.7342,0.5276,0.5683,0.6414,0.8417,0.8221,0.3592,0.5634,0.8594,0.4103,0.3131,0.6904,0.2604,0.7811,0.6219,0.4586,0.7896,0.8670
9,3.60,2.87,0.43,0.7443,0.4130,0.6772,0.3989,0.6438,0.7590,0.1349,0.8374,0.3592,0.5634,0.8594,0.4033,0.3131,0.6904,0.2604,0.7811,0.6219,0.7815,0.7896,0.8600
10,3.60,3.00,0.39,0.7443,0.4130,0.7367,0.3989,0.6438,0.6638,0.1349,0.8374,0.3592,0.5634,0.8594,0.4033,0.3131,0.8381,0.2604,0.7811,0.7492,0.7815,0.7896,0.8600
